time,pm10,pm2_5,ozone,nitrogen_dioxide,temp,humidity,pressure,wind_speed,hour,day_of_week,month,hour_sin,hour_cos,month_sin,month_cos,is_holiday,is_weekend,pm2_5_24h_avg,pm10_24h_avg
2025-04-01 03:00:00,12.7,6.3,52.0,17.8,8.17,81.0,1006.0,2.56,3,1,4,0.7071067811865476,0.7071067811865476,0.8660254037844387,-0.4999999999999998,0,False,9.079166666666667,13.9375
2025-04-01 04:00:00,14.3,6.5,48.0,19.0,8.17,81.0,1006.0,2.56,4,1,4,0.8660254037844386,0.5000000000000001,0.8660254037844387,-0.4999999999999998,0,False,8.858333333333334,13.879166666666665
2025-04-01 05:00:00,13.6,7.4,50.0,21.8,8.17,81.0,1006.0,2.56,5,1,4,0.9659258262890683,0.25881904510252074,0.8660254037844387,-0.4999999999999998,0,False,8.633333333333333,13.766666666666667
2025-04-01 06:00:00,14.5,9.9,44.0,35.8,8.17,81.0,1006.0,2.56,6,1,4,1.0,6.123233995736766e-17,0.8660254037844387,-0.4999999999999998,0,False,8.395833333333334,13.549999999999999
2025-04-01 07:00:00,15.7,12.1,43.0,37.1,8.17,81.0,1006.0,2.56,7,1,4,0.9659258262890683,-0.25881904510252063,0.8660254037844387,-0.4999999999999998,0,False,8.299999999999999,13.25
2025-04-01 08:00:00,17.2,12.1,47.0,28.2,8.17,81.0,1006.0,2.56,8,1,4,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,0,False,8.145833333333334,13.008333333333333
2025-04-01 09:00:00,15.8,11.7,56.0,21.9,8.17,81.0,1006.0,2.56,9,1,4,0.7071067811865476,-0.7071067811865475,0.8660254037844387,-0.4999999999999998,0,False,8.083333333333334,12.895833333333334
2025-04-01 10:00:00,15.9,10.7,62.0,17.5,8.17,81.0,1006.0,2.56,10,1,4,0.49999999999999994,-0.8660254037844387,0.8660254037844387,-0.4999999999999998,0,False,8.133333333333333,12.908333333333331
2025-04-01 11:00:00,12.4,7.5,76.0,15.1,8.17,81.0,1006.0,2.56,11,1,4,0.258819045102521,-0.9659258262890682,0.8660254037844387,-0.4999999999999998,0,False,8.133333333333333,12.9375
2025-04-01 12:00:00,10.7,6.6,74.0,13.2,8.17,81.0,1006.0,2.56,12,1,4,1.2246467991473532e-16,-1.0,0.8660254037844387,-0.4999999999999998,0,False,8.166666666666666,13.016666666666666
